,Candidate_ID,Cluster_ID,Donor,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Count
23597,24,793.0,VOTE/COPE,7000.0,250.0,2250.0,27000.0,12
23603,24,876.0,NY HOTEL TRADES COUNCIL COPE,5000.0,2000.0,3000.0,24000.0,8
24176,25,164.0,32BJ,7000.0,1000.0,3500.0,10500.0,3
24177,25,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,3500.0,3500.0,3500.0,10500.0,3
24179,25,188.0,LAWPAC OF NEW YORK,5000.0,5000.0,5000.0,5000.0,1
24181,25,196.0,1199 SEIU,11000.0,4000.0,7500.0,15000.0,2
24198,25,793.0,NEW YORK STATE UNITED TEACHERS (NYSUT),11000.0,1000.0,6000.0,12000.0,2
24202,25,876.0,NY HOTEL TRADES COUNCIL,3500.0,3500.0,3500.0,3500.0,1
28061,26,117.0,MASON TENDERS DISTRICT COUNCIL GREATER NY PAC,10400.0,2500.0,5100.0,25500.0,5
28070,26,142.0,NEW YORK STATE LABORERS' PAC,6000.0,1000.0,2785.714285714286,19500.0,7
28074,26,153.0,TRANSPORT WORKERS UNION LOCAL 100,5000.0,500.0,2083.333333333333,12500.0,6
28081,26,164.0,LOCAL 32BJ NY/NJ AMERICAN DREAM FUND,5000.0,1000.0,2875.0,23000.0,8
28082,26,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,7000.0,2500.0,5257.142857142857,36800.0,7
28089,26,188.0,LAWPAC OF NEW YORK,7000.0,1500.0,2916.666666666666,35000.0,12
28093,26,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,11000.0,4000.0,7200.0,36000.0,5
28134,26,523.0,RPAC OF NEW YORK STATE,8500.0,500.0,2950.0,29500.0,10
28178,26,793.0,VOTE COPE COMMITTEE ON POLITICAL EDUCATION OF NYSU,9300.0,200.0,2550.0,40800.0,16
